"","year","month","spei"
"736",1962,4,0.625779628753662
"737",1962,5,0.457665205001831
"738",1962,6,0.420109629631042
"739",1962,7,0.441972076892853
"740",1962,8,0.191908895969391
"741",1962,9,1.01626515388489
"742",1962,10,0.536228775978088
"743",1962,11,1.20196866989136
"744",1962,12,1.35292482376099
"745",1963,1,1.4358149766922
"746",1963,2,1.5832005739212
"747",1963,3,1.46403634548187
"748",1963,4,0.979019343852997
"749",1963,5,0.849897682666779
"750",1963,6,0.653381288051605
"751",1963,7,-0.129110038280487
"752",1963,8,0.806386590003967
"753",1963,9,0.869873225688934
"754",1963,10,1.11499798297882
"755",1963,11,0.226059108972549
"756",1963,12,0.274092376232147
"757",1964,1,-0.280706822872162
"758",1964,2,-0.616927146911621
"759",1964,3,-0.388651609420776
"760",1964,4,-0.0443539395928383
"761",1964,5,0.291670739650726
"762",1964,6,0.397923767566681
"763",1964,7,0.7124884724617
"764",1964,8,0.265418201684952
"765",1964,9,0.000227878961595707
"766",1964,10,0.857479512691498
"767",1964,11,0.595298528671265
"768",1964,12,0.649417877197266
"769",1965,1,1.12739753723145
"770",1965,2,1.20441198348999
"771",1965,3,1.16166150569916
"772",1965,4,1.3589962720871
"773",1965,5,1.39337861537933
"774",1965,6,1.36680972576141
"775",1965,7,1.59651339054108
"776",1965,8,1.55806148052216
"777",1965,9,1.70198225975037
"778",1965,10,0.548780500888824
"779",1965,11,1.20287096500397
"780",1965,12,1.40536487102509
"781",1966,1,1.19069278240204
"782",1966,2,1.32592165470123
"783",1966,3,1.21028852462769
"784",1966,4,0.90608948469162
"785",1966,5,0.741109549999237
"786",1966,6,0.850798964500427
"787",1966,7,0.887504518032074
"788",1966,8,0.909094095230103
"789",1966,9,0.521101832389832
"790",1966,10,1.20555734634399
"791",1966,11,1.18476951122284
"792",1966,12,0.904625177383423
"793",1967,1,1.01324772834778
"794",1967,2,0.850069880485535
"795",1967,3,0.829737365245819
"796",1967,4,1.06515860557556
"797",1967,5,1.05806815624237
"798",1967,6,0.909040570259094
"799",1967,7,0.305196106433868
"800",1967,8,-0.325389087200165
"801",1967,9,0.416663378477097
"802",1967,10,0.117433816194534
"803",1967,11,-0.426824659109116
"804",1967,12,-0.392655551433563
"805",1968,1,-0.36743837594986
"806",1968,2,-0.332557499408722
"807",1968,3,-0.720560371875763
"808",1968,4,-1.36317598819733
"809",1968,5,-1.45672917366028
"810",1968,6,-1.34719288349152
"811",1968,7,-1.25538659095764
"812",1968,8,-0.504685819149017
"813",1968,9,-0.627258241176605
"814",1968,10,-0.776843369007111
"815",1968,11,-0.541146278381348
"816",1968,12,-0.572377324104309
"817",1969,1,-0.624902904033661
"818",1969,2,-0.0748153775930405
"819",1969,3,0.198596268892288
"820",1969,4,0.605212092399597
"821",1969,5,0.672081887722015
"822",1969,6,0.840512454509735
"823",1969,7,0.776896417140961
"824",1969,8,0.941512763500214
"825",1969,9,0.568834125995636
"826",1969,10,0.577402055263519
"827",1969,11,0.571979403495789
"828",1969,12,0.540944516658783
"829",1970,1,0.563065528869629
"830",1970,2,0.345547467470169
"831",1970,3,0.757424414157867
"832",1970,4,1.27561295032501
"833",1970,5,1.31884241104126
"834",1970,6,0.914405226707458
"835",1970,7,1.14541733264923
"836",1970,8,0.800417840480804
"837",1970,9,0.571971535682678
"838",1970,10,0.937320709228516
"839",1970,11,0.651710987091064
"840",1970,12,0.504056692123413
"841",1971,1,0.392100691795349
"842",1971,2,-0.00768938288092613
"843",1971,3,-0.280095785856247
"844",1971,4,-0.945878505706787
"845",1971,5,-1.15119242668152
"846",1971,6,-0.98364919424057
"847",1971,7,-1.3193621635437
"848",1971,8,-1.59615921974182
"849",1971,9,-1.50009512901306
"850",1971,10,-1.81423044204712
"851",1971,11,-1.64441883563995
